id,latency,dsp,uram,bram,NumAlu,PermTput,ScratchSize
0,71292.0608,32,8,64,1,2,32768
1,71292.0608,32,16,64,1,2,294912
2,71292.0608,32,24,64,1,2,557056
3,71292.0608,32,32,64,1,2,819200
4,71292.0608,32,40,64,1,2,1081344
5,71292.0608,32,48,64,1,2,1343488
6,71292.0608,32,56,64,1,2,1605632
7,71292.0608,32,64,64,1,2,1867776
8,71292.0608,32,72,64,1,2,2129920
9,71292.0608,32,80,64,1,2,2392064
10,71292.0608,32,88,64,1,2,2654208
11,71292.0608,32,96,64,1,2,2916352
12,71292.0608,32,104,64,1,2,3178496
13,71292.0608,32,112,64,1,2,3440640
14,71292.0608,32,120,64,1,2,3702784
15,71292.0608,32,128,64,1,2,3964928
16,71292.0608,32,136,64,1,2,4227072
17,71292.0608,32,144,64,1,2,4489216
18,71292.0608,32,152,64,1,2,4751360
19,71292.0608,32,160,64,1,2,5013504
20,71292.0608,32,168,64,1,2,5275648
21,71292.0608,32,176,64,1,2,5537792
22,71292.0608,32,184,64,1,2,5799936
23,71292.0608,32,192,64,1,2,6062080
24,71292.0608,32,200,64,1,2,6324224
25,71292.0608,32,208,64,1,2,6586368
26,71292.0608,32,216,64,1,2,6848512
27,71292.0608,32,224,64,1,2,7110656
28,71292.0608,32,232,64,1,2,7372800
29,71292.0608,32,240,64,1,2,7634944
30,71292.0608,32,248,64,1,2,7897088
31,71292.0608,32,256,64,1,2,8159232
32,71292.0608,32,264,64,1,2,8421376
33,71292.0608,32,272,64,1,2,8683520
34,71292.0608,32,280,64,1,2,8945664
35,71292.0608,32,288,64,1,2,9207808
36,71292.0608,32,296,64,1,2,9469952
37,71292.0608,32,304,64,1,2,9732096
38,71292.0608,32,312,64,1,2,9994240
39,71292.0608,32,320,64,1,2,10256384
40,71292.0608,32,328,64,1,2,10518528
41,71292.0608,32,336,64,1,2,10780672
42,71292.0608,32,344,64,1,2,11042816
43,71292.0608,32,352,64,1,2,11304960
44,71292.0608,32,360,64,1,2,11567104
45,71292.0608,32,368,64,1,2,11829248
46,71292.0608,32,376,64,1,2,12091392
47,71292.0608,32,384,64,1,2,12353536
48,71292.0608,32,392,64,1,2,12615680
49,71292.0608,32,400,64,1,2,12877824
50,71292.0608,32,408,64,1,2,13139968
51,71292.0608,32,416,64,1,2,13402112
52,71292.0608,32,424,64,1,2,13664256
