id,latency,dsp,uram,bram,NumAlu,PermTput,ScratchSize
115,27932.344388157435,11,924,64,1,2,30162944
116,27932.344388157435,11,932,64,1,2,30425088
117,27932.344388157435,11,940,64,1,2,30687232
118,27932.344388157435,11,948,64,1,2,30949376
119,27932.344388157435,11,956,64,1,2,31211520
120,27932.344388157435,11,964,64,1,2,31473664
121,27932.344388157435,11,972,64,1,2,31735808
122,27932.344388157435,11,980,64,1,2,31997952
123,27932.344388157435,11,988,64,1,2,32260096
124,27932.344388157435,11,996,64,1,2,32522240
125,27932.344388157435,11,1004,64,1,2,32784384
126,27932.344388157435,11,1012,64,1,2,33046528
127,27932.344388157435,11,1020,64,1,2,33308672
128,27932.344388157435,11,1024,68,1,2,33570816
129,27932.344388157435,11,1024,132,1,2,33832960
130,27932.344388157435,11,1024,196,1,2,34095104
131,27932.344388157435,11,1024,260,1,2,34357248
132,27932.344388157435,11,1024,324,1,2,34619392
133,27932.344388157435,11,1024,388,1,2,34881536
134,27932.344388157435,11,1024,452,1,2,35143680
135,27932.344388157435,11,1024,516,1,2,35405824
136,27932.344388157435,11,1024,580,1,2,35667968
137,27932.344388157435,11,1024,644,1,2,35930112
138,27932.344388157435,11,1024,708,1,2,36192256
139,27932.344388157435,11,1024,772,1,2,36454400
140,27932.344388157435,11,1024,836,1,2,36716544
141,27932.344388157435,11,1024,900,1,2,36978688
142,27932.344388157435,11,1024,964,1,2,37240832
143,27932.344388157435,11,1024,1028,1,2,37502976
144,27932.344388157435,11,1024,1092,1,2,37765120
145,27932.344388157435,11,1024,1156,1,2,38027264
146,27932.344388157435,11,1024,1220,1,2,38289408
147,27932.344388157435,11,1024,1284,1,2,38551552
148,27932.344388157435,11,1024,1348,1,2,38813696
149,27932.344388157435,11,1024,1412,1,2,39075840
150,27932.344388157435,11,1024,1476,1,2,39337984
151,27932.344388157435,11,1024,1540,1,2,39600128
152,27932.344388157435,11,8,64,1,4,32768
153,27932.344388157435,11,16,64,1,4,294912
154,27932.344388157435,11,24,64,1,4,557056
155,27932.344388157435,11,32,64,1,4,819200
156,27932.344388157435,11,40,64,1,4,1081344
157,27932.344388157435,11,48,64,1,4,1343488
158,27932.344388157435,11,56,64,1,4,1605632
159,27932.344388157435,11,64,64,1,4,1867776
160,27932.344388157435,11,72,64,1,4,2129920
161,27932.344388157435,11,80,64,1,4,2392064
162,27932.344388157435,11,88,64,1,4,2654208
163,27932.344388157435,11,96,64,1,4,2916352
164,27932.344388157435,11,104,64,1,4,3178496
165,27932.344388157435,11,112,64,1,4,3440640
166,27932.344388157435,11,120,64,1,4,3702784
167,27932.344388157435,11,128,64,1,4,3964928
168,27932.344388157435,11,136,64,1,4,4227072
169,27932.344388157435,11,144,64,1,4,4489216
170,27932.344388157435,11,152,64,1,4,4751360
171,27932.344388157435,11,160,64,1,4,5013504
172,27932.344388157435,11,168,64,1,4,5275648
173,27932.344388157435,11,176,64,1,4,5537792
174,27932.344388157435,11,184,64,1,4,5799936
