Name,Op,Latency,DSPs,URAMs,BRAMs,NumAlu,PermTput,ScratchSize,BW
Set-2,Rotate,8364.19670278144,1408,512,128,128,128,11534336,128
Set-2,Rotate,7869.54473857024,1408,512,128,128,128,10485760,256
Set-2,Rotate,7754.65193857024,1408,512,128,128,128,9437184,460
Set-2,Rotate,4766.022723092479,2816,512,256,256,256,12582912,128
Set-2,Rotate,4182.09835139072,2816,512,256,256,256,12582912,256
Set-2,Rotate,3952.639295111168,2816,512,256,256,256,12582912,460
Set-2,Rotate,2995.4533078630398,5632,1024,512,512,512,12582912,128
Set-2,Rotate,2383.0113615462396,5632,1024,512,512,512,12582912,256
Set-2,Rotate,2124.05359670459,5632,1024,512,512,512,12582912,460
Set-3,CtCtAdd,29.75746916352,704,128,16,64,2,524288,128
Set-3,CtCtAdd,19.83831277568,704,128,16,64,2,524288,256
Set-3,CtCtAdd,19.83831277568,704,128,16,64,2,524288,460
Set-3,CtCtAdd,29.75746916352,704,128,16,128,2,524288,128
Set-3,CtCtAdd,14.87873458176,1408,256,16,128,2,1048576,256
Set-3,CtCtAdd,9.91915638784,1408,256,16,128,2,1048576,460
Set-3,CtCtAdd,29.75746916352,704,128,16,256,2,524288,128
Set-3,CtCtAdd,14.87873458176,1408,256,16,256,2,1048576,256
Set-3,CtCtAdd,8.280339245501219,2816,512,16,256,2,2097152,460
Set-3,CtCtAdd,29.75746916352,704,128,16,512,2,524288,128
Set-3,CtCtAdd,14.87873458176,1408,256,16,512,2,1048576,256
Set-3,CtCtAdd,8.280339245501219,2816,512,16,512,2,2097152,460
Set-3,CtCtMult,894.11839483904,704,128,64,64,64,1048576,128
Set-3,CtCtMult,852.50471477248,704,128,64,64,64,524288,256
Set-3,CtCtMult,838.707643133774,704,128,64,64,64,524288,460
Set-3,CtCtMult,494.25240295424,1408,256,128,128,128,1048576,128
Set-3,CtCtMult,447.05919741952,1408,256,128,128,128,1048576,256
Set-3,CtCtMult,428.6044349552195,1408,256,128,128,128,1048576,460
Set-3,CtCtMult,297.10916974592,2816,512,256,256,256,2097152,128
Set-3,CtCtMult,247.12620147712,2816,512,256,256,256,2097152,256
Set-3,CtCtMult,225.8816762787395,2816,512,256,256,256,2097152,460
Set-3,CtCtMult,201.01734223872,5632,1024,512,512,512,4194304,128
Set-3,CtCtMult,148.55458487296,5632,1024,512,512,512,4194304,256
Set-3,CtCtMult,126.38822503201393,5632,1024,512,512,512,4194304,460
Set-3,Rescale,555.4727577190399,704,128,64,64,64,524288,128
Set-3,Rescale,555.4727577190399,704,128,64,64,64,524288,256
Set-3,Rescale,555.4727577190399,704,128,64,64,64,524288,460
Set-3,Rescale,277.73637885951996,1408,256,128,128,128,1048576,128
Set-3,Rescale,277.73637885951996,1408,256,128,128,128,1048576,256
Set-3,Rescale,277.73637885951996,1408,256,128,128,128,1048576,460
Set-3,Rescale,138.86818942975998,2816,512,256,256,256,2097152,128
Set-3,Rescale,138.86818942975998,2816,512,256,256,256,2097152,256
Set-3,Rescale,138.86818942975998,2816,512,256,256,256,2097152,460
Set-3,Rescale,73.77372563455998,5632,1024,512,512,512,4194304,128
Set-3,Rescale,69.43409471487999,5632,1024,512,512,512,4194304,256
Set-3,Rescale,69.43409471487999,5632,1024,512,512,512,4194304,460
Set-3,Rotate,865.86619109376,704,128,64,64,64,1048576,128
Set-3,Rotate,843.33819109376,704,128,64,64,64,524288,256
Set-3,Rotate,833.3475128328905,704,128,64,64,64,524288,460
Set-3,Rotate,466.00019920896,1408,256,128,128,128,1048576,128
Set-3,Rotate,432.93309554688,1408,256,128,128,128,1048576,256
Set-3,Rotate,422.9424172860105,1408,256,128,128,128,1048576,460
Set-3,Rotate,268.85696600064,2816,512,256,256,256,2097152,128
Set-3,Rotate,233.00009960448,2816,512,256,256,256,2097152,256
Set-3,Rotate,218.02019349744418,2816,512,256,256,256,2097152,460
Set-3,Rotate,172.76513849344002,5632,1024,512,512,512,4194304,128
Set-3,Rotate,134.42848300032,5632,1024,512,512,512,4194304,256
Set-3,Rotate,118.52674225071863,5632,1024,512,512,512,4194304,460
Cnn-1,CtCtAdd,49.01230215168,176,32,8,512,2,131072,34
Cnn-1,CtCtAdd,49.01230215168,176,32,8,512,2,131072,34
Cnn-2,CtCtAdd,98.02460430336,176,32,16,512,2,131072,34
Cnn-1,CtCtAdd,3.6226484199067825,2816,512,8,512,2,2097152,460
Cnn-1,Rotate,49.21427218970713,5632,1024,512,512,512,4194304,460
Cnn-1,CtCtAdd,3.6226484199067825,2816,512,8,512,2,2097152,460
Cnn-2,CtCtAdd,7.245296839813565,2816,512,16,512,2,2097152,460
Cnn-2,Rotate,104.00806984757425,5632,1024,512,512,512,4194304,460
