id,latency,dsp,uram,bram,NumAlu,PermTput,ScratchSize
0,555.4727577190399,11,4,8,1,2,16384
1,555.4727577190399,11,4,8,1,2,49152
2,555.4727577190399,11,4,8,1,2,81920
3,555.4727577190399,11,4,8,1,2,114688
4,555.4727577190399,11,8,8,1,2,147456
5,555.4727577190399,11,8,8,1,2,180224
6,555.4727577190399,11,8,8,1,2,212992
7,555.4727577190399,11,8,8,1,2,245760
8,555.4727577190399,11,12,8,1,2,278528
9,555.4727577190399,11,12,8,1,2,311296
10,555.4727577190399,11,12,8,1,2,344064
11,555.4727577190399,11,12,8,1,2,376832
12,555.4727577190399,11,16,8,1,2,409600
13,555.4727577190399,11,16,8,1,2,442368
14,555.4727577190399,11,16,8,1,2,475136
15,555.4727577190399,11,16,8,1,2,507904
16,555.4727577190399,11,20,8,1,2,540672
17,555.4727577190399,11,20,8,1,2,573440
18,555.4727577190399,11,20,8,1,2,606208
19,555.4727577190399,11,20,8,1,2,638976
20,555.4727577190399,11,24,8,1,2,671744
21,555.4727577190399,11,24,8,1,2,704512
22,555.4727577190399,11,24,8,1,2,737280
23,555.4727577190399,11,24,8,1,2,770048
24,555.4727577190399,11,28,8,1,2,802816
25,555.4727577190399,11,28,8,1,2,835584
26,555.4727577190399,11,28,8,1,2,868352
27,555.4727577190399,11,28,8,1,2,901120
28,555.4727577190399,11,32,8,1,2,933888
29,555.4727577190399,11,32,8,1,2,966656
30,555.4727577190399,11,32,8,1,2,999424
31,555.4727577190399,11,32,8,1,2,1032192
32,555.4727577190399,11,36,8,1,2,1064960
33,555.4727577190399,11,36,8,1,2,1097728
34,555.4727577190399,11,36,8,1,2,1130496
35,555.4727577190399,11,36,8,1,2,1163264
36,555.4727577190399,11,40,8,1,2,1196032
37,555.4727577190399,11,40,8,1,2,1228800
38,555.4727577190399,11,40,8,1,2,1261568
39,555.4727577190399,11,40,8,1,2,1294336
40,555.4727577190399,11,44,8,1,2,1327104
41,555.4727577190399,11,44,8,1,2,1359872
42,555.4727577190399,11,44,8,1,2,1392640
43,555.4727577190399,11,44,8,1,2,1425408
44,555.4727577190399,11,48,8,1,2,1458176
45,555.4727577190399,11,48,8,1,2,1490944
46,555.4727577190399,11,48,8,1,2,1523712
47,555.4727577190399,11,48,8,1,2,1556480
48,555.4727577190399,11,52,8,1,2,1589248
49,555.4727577190399,11,52,8,1,2,1622016
50,555.4727577190399,11,52,8,1,2,1654784
51,555.4727577190399,11,52,8,1,2,1687552
