id,latency,dsp,uram,bram,NumAlu,PermTput,ScratchSize
0,13838747.68880989,11,4,64,1,2,16384
1,13838747.68880989,11,12,64,1,2,278528
2,13838747.68880989,11,20,64,1,2,540672
3,13838747.68880989,11,28,64,1,2,802816
4,13838747.68880989,11,36,64,1,2,1064960
5,13838747.68880989,11,44,64,1,2,1327104
6,13838747.68880989,11,52,64,1,2,1589248
7,13838747.68880989,11,60,64,1,2,1851392
8,13838747.68880989,11,68,64,1,2,2113536
9,13838747.68880989,11,76,64,1,2,2375680
10,13838747.68880989,11,84,64,1,2,2637824
11,13838747.68880989,11,92,64,1,2,2899968
12,13838747.68880989,11,100,64,1,2,3162112
13,13838747.68880989,11,108,64,1,2,3424256
14,13838747.68880989,11,116,64,1,2,3686400
15,13838747.68880989,11,124,64,1,2,3948544
16,13838747.68880989,11,132,64,1,2,4210688
17,13838747.68880989,11,140,64,1,2,4472832
18,13838747.68880989,11,148,64,1,2,4734976
19,13838747.68880989,11,156,64,1,2,4997120
20,13838747.68880989,11,164,64,1,2,5259264
21,13838747.68880989,11,172,64,1,2,5521408
22,13838747.68880989,11,180,64,1,2,5783552
23,13838747.68880989,11,188,64,1,2,6045696
24,13838747.68880989,11,196,64,1,2,6307840
25,13838747.68880989,11,204,64,1,2,6569984
26,13838747.68880989,11,212,64,1,2,6832128
27,13838747.68880989,11,220,64,1,2,7094272
28,13838747.68880989,11,228,64,1,2,7356416
29,13838747.68880989,11,236,64,1,2,7618560
30,13838747.68880989,11,244,64,1,2,7880704
31,13838747.68880989,11,252,64,1,2,8142848
32,13838747.68880989,11,260,64,1,2,8404992
33,13838747.68880989,11,268,64,1,2,8667136
34,13838747.68880989,11,276,64,1,2,8929280
35,13838747.68880989,11,284,64,1,2,9191424
36,13838747.68880989,11,292,64,1,2,9453568
37,13838747.68880989,11,300,64,1,2,9715712
38,13838747.68880989,11,308,64,1,2,9977856
39,13838747.68880989,11,316,64,1,2,10240000
40,13838747.68880989,11,324,64,1,2,10502144
41,13838747.68880989,11,332,64,1,2,10764288
42,13838747.68880989,11,340,64,1,2,11026432
43,13838747.68880989,11,348,64,1,2,11288576
44,13838747.68880989,11,356,64,1,2,11550720
