id,latency,dsp,uram,bram,NumAlu,PermTput,ScratchSize
0,970634.4401862655,11,4,64,1,2,16384
1,970634.4401862655,11,12,64,1,2,278528
2,970634.4401862655,11,20,64,1,2,540672
3,970634.4401862655,11,28,64,1,2,802816
4,970634.4401862655,11,36,64,1,2,1064960
5,970634.4401862655,11,44,64,1,2,1327104
6,970634.4401862655,11,52,64,1,2,1589248
7,970634.4401862655,11,60,64,1,2,1851392
8,970634.4401862655,11,68,64,1,2,2113536
9,970634.4401862655,11,76,64,1,2,2375680
10,970634.4401862655,11,84,64,1,2,2637824
11,970634.4401862655,11,92,64,1,2,2899968
12,970634.4401862655,11,100,64,1,2,3162112
13,970634.4401862655,11,108,64,1,2,3424256
14,970634.4401862655,11,116,64,1,2,3686400
15,970634.4401862655,11,124,64,1,2,3948544
16,970634.4401862655,11,132,64,1,2,4210688
17,970634.4401862655,11,140,64,1,2,4472832
18,970634.4401862655,11,148,64,1,2,4734976
19,970634.4401862655,11,156,64,1,2,4997120
20,970634.4401862655,11,164,64,1,2,5259264
21,970634.4401862655,11,172,64,1,2,5521408
22,970634.4401862655,11,180,64,1,2,5783552
23,970634.4401862655,11,188,64,1,2,6045696
24,970634.4401862655,11,196,64,1,2,6307840
25,970634.4401862655,11,204,64,1,2,6569984
26,970634.4401862655,11,212,64,1,2,6832128
27,970634.4401862655,11,220,64,1,2,7094272
28,970634.4401862655,11,228,64,1,2,7356416
29,970634.4401862655,11,236,64,1,2,7618560
30,970634.4401862655,11,244,64,1,2,7880704
31,970634.4401862655,11,252,64,1,2,8142848
32,970634.4401862655,11,260,64,1,2,8404992
33,970634.4401862655,11,268,64,1,2,8667136
34,970634.4401862655,11,276,64,1,2,8929280
35,970634.4401862655,11,284,64,1,2,9191424
36,970634.4401862655,11,292,64,1,2,9453568
37,970634.4401862655,11,300,64,1,2,9715712
38,970634.4401862655,11,308,64,1,2,9977856
39,970634.4401862655,11,316,64,1,2,10240000
40,970634.4401862655,11,324,64,1,2,10502144
41,970634.4401862655,11,332,64,1,2,10764288
42,970634.4401862655,11,340,64,1,2,11026432
43,970634.4401862655,11,348,64,1,2,11288576
44,970634.4401862655,11,356,64,1,2,11550720
45,970634.4401862655,11,364,64,1,2,11812864
46,970634.4401862655,11,372,64,1,2,12075008
47,970634.4401862655,11,380,64,1,2,12337152
48,970634.4401862655,11,388,64,1,2,12599296
49,970634.4401862655,11,396,64,1,2,12861440
50,970634.4401862655,11,404,64,1,2,13123584
51,970634.4401862655,11,412,64,1,2,13385728
52,970634.4401862655,11,420,64,1,2,13647872
53,970634.4401862655,11,428,64,1,2,13910016
54,970634.4401862655,11,436,64,1,2,14172160
55,970634.4401862655,11,444,64,1,2,14434304
