id,latency,dsp,uram,bram,NumAlu,PermTput,ScratchSize
0,52226.9765473289,11,4,16,1,2,16384
1,52226.9765473289,11,4,16,1,2,81920
2,52226.9765473289,11,8,16,1,2,147456
3,52226.9765473289,11,8,16,1,2,212992
4,52226.9765473289,11,12,16,1,2,278528
5,52226.9765473289,11,12,16,1,2,344064
6,52226.9765473289,11,16,16,1,2,409600
7,52226.9765473289,11,16,16,1,2,475136
8,52226.9765473289,11,20,16,1,2,540672
9,52226.9765473289,11,20,16,1,2,606208
10,52226.9765473289,11,24,16,1,2,671744
11,52226.9765473289,11,24,16,1,2,737280
12,52226.9765473289,11,28,16,1,2,802816
13,52226.9765473289,11,28,16,1,2,868352
14,52226.9765473289,11,32,16,1,2,933888
15,52226.9765473289,11,32,16,1,2,999424
16,52226.9765473289,11,36,16,1,2,1064960
17,52226.9765473289,11,36,16,1,2,1130496
18,52226.9765473289,11,40,16,1,2,1196032
19,52226.9765473289,11,40,16,1,2,1261568
20,52226.9765473289,11,44,16,1,2,1327104
21,52226.9765473289,11,44,16,1,2,1392640
22,52226.9765473289,11,48,16,1,2,1458176
23,52226.9765473289,11,48,16,1,2,1523712
24,52226.9765473289,11,52,16,1,2,1589248
25,52226.9765473289,11,52,16,1,2,1654784
26,52226.9765473289,11,56,16,1,2,1720320
27,52226.9765473289,11,56,16,1,2,1785856
28,52226.9765473289,11,60,16,1,2,1851392
29,52226.9765473289,11,60,16,1,2,1916928
30,52226.9765473289,11,64,16,1,2,1982464
31,52226.9765473289,11,64,16,1,2,2048000
32,52226.9765473289,11,68,16,1,2,2113536
33,52226.9765473289,11,68,16,1,2,2179072
34,52226.9765473289,11,72,16,1,2,2244608
35,52226.9765473289,11,72,16,1,2,2310144
36,52226.9765473289,11,76,16,1,2,2375680
37,52226.9765473289,11,76,16,1,2,2441216
38,52226.9765473289,11,80,16,1,2,2506752
39,52226.9765473289,11,80,16,1,2,2572288
40,52226.9765473289,11,84,16,1,2,2637824
41,52226.9765473289,11,84,16,1,2,2703360
42,52226.9765473289,11,88,16,1,2,2768896
43,52226.9765473289,11,88,16,1,2,2834432
44,52226.9765473289,11,92,16,1,2,2899968
45,52226.9765473289,11,92,16,1,2,2965504
46,52226.9765473289,11,96,16,1,2,3031040
47,52226.9765473289,11,96,16,1,2,3096576
48,52226.9765473289,11,100,16,1,2,3162112
49,52226.9765473289,11,100,16,1,2,3227648
50,52226.9765473289,11,104,16,1,2,3293184
51,52226.9765473289,11,104,16,1,2,3358720
52,52226.9765473289,11,108,16,1,2,3424256
53,52226.9765473289,11,108,16,1,2,3489792
54,52226.9765473289,11,112,16,1,2,3555328
55,52226.9765473289,11,112,16,1,2,3620864
56,52226.9765473289,11,116,16,1,2,3686400
57,52226.9765473289,11,116,16,1,2,3751936
58,52226.9765473289,11,120,16,1,2,3817472
59,52226.9765473289,11,120,16,1,2,3883008
60,52226.9765473289,11,124,16,1,2,3948544
61,52226.9765473289,11,124,16,1,2,4014080
62,52226.9765473289,11,128,16,1,2,4079616
63,52226.9765473289,11,128,16,1,2,4145152
64,52226.9765473289,11,132,16,1,2,4210688
65,52226.9765473289,11,132,16,1,2,4276224
66,52226.9765473289,11,136,16,1,2,4341760
67,52226.9765473289,11,136,16,1,2,4407296
68,52226.9765473289,11,140,16,1,2,4472832
69,52226.9765473289,11,140,16,1,2,4538368
70,52226.9765473289,11,144,16,1,2,4603904
71,52226.9765473289,11,144,16,1,2,4669440
72,52226.9765473289,11,148,16,1,2,4734976
73,52226.9765473289,11,148,16,1,2,4800512
74,52226.9765473289,11,152,16,1,2,4866048
75,52226.9765473289,11,152,16,1,2,4931584
76,52226.9765473289,11,156,16,1,2,4997120
77,52226.9765473289,11,156,16,1,2,5062656
78,52226.9765473289,11,160,16,1,2,5128192
79,52226.9765473289,11,160,16,1,2,5193728
80,52226.9765473289,11,164,16,1,2,5259264
81,52226.9765473289,11,164,16,1,2,5324800
82,52226.9765473289,11,168,16,1,2,5390336
83,52226.9765473289,11,168,16,1,2,5455872
84,52226.9765473289,11,172,16,1,2,5521408
85,52226.9765473289,11,172,16,1,2,5586944
86,52226.9765473289,11,176,16,1,2,5652480
87,52226.9765473289,11,176,16,1,2,5718016
88,52226.9765473289,11,180,16,1,2,5783552
89,52226.9765473289,11,180,16,1,2,5849088
90,52226.9765473289,11,184,16,1,2,5914624
91,52226.9765473289,11,184,16,1,2,5980160
92,52226.9765473289,11,188,16,1,2,6045696
93,52226.9765473289,11,188,16,1,2,6111232
94,52226.9765473289,11,192,16,1,2,6176768
95,52226.9765473289,11,192,16,1,2,6242304
96,52226.9765473289,11,196,16,1,2,6307840
97,52226.9765473289,11,196,16,1,2,6373376
98,52226.9765473289,11,200,16,1,2,6438912
99,52226.9765473289,11,200,16,1,2,6504448
100,52226.9765473289,11,204,16,1,2,6569984
101,52226.9765473289,11,204,16,1,2,6635520
102,52226.9765473289,11,208,16,1,2,6701056
103,52226.9765473289,11,208,16,1,2,6766592
104,52226.9765473289,11,212,16,1,2,6832128
105,52226.9765473289,11,212,16,1,2,6897664
